drug_name,source,description,food_name
drotrecogin alfa,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",piracetam
pegaspargase,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","Avoid excessive or chronic alcohol consumption. Alcohol and pegaspargase can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",alcohol
interferon beta-1a,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","Avoid excessive or chronic alcohol consumption. Alcohol and interferon beta-1a can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",alcohol
eptifibatide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","Avoid herbs and supplements with anticoagulant/antiplatelet activity. The use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",ginkgo biloba
eptifibatide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","Avoid herbs and supplements with anticoagulant/antiplatelet activity. The use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",garlic
eptifibatide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","Avoid herbs and supplements with anticoagulant/antiplatelet activity. The use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",ginger
eptifibatide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","Avoid herbs and supplements with anticoagulant/antiplatelet activity. The use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",bilberry
eptifibatide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","Avoid herbs and supplements with anticoagulant/antiplatelet activity. The use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",danshen
eptifibatide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","Avoid herbs and supplements with anticoagulant/antiplatelet activity. The use of anticoagulant/antiplatelet herbs with eptifibatide may increase the risk of bleeding. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",piracetam
interferon beta-1b,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","Avoid excessive or chronic alcohol consumption. Alcohol and Interferon beta-1 can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",alcohol
insulin pork,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","Avoid excessive or chronic alcohol consumption. Drinking more than two standard drinks per day in women, or more than 3 standard drinks per day in men, can reduce a patient's insulin requirements, and therefore increase the risk of hypoglycemia if the insulin dosing is not adjusted.",alcohol
ibritumomab tiuxetan,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",ginkgo biloba
ibritumomab tiuxetan,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",garlic
ibritumomab tiuxetan,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",ginger
ibritumomab tiuxetan,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",bilberry
